country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.68048780000001,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.43902439
Benin,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.36600000000001,54.776,55.042,55.174,55.203,55.17,55.133,55.138999999999996,55.218,55.391000000000005,55.668,56.025,56.43600000000001,56.887,57.355,57.817,58.255,58.653999999999996,59.00899999999999,59.318000000000005,59.59,59.842,60.092,60.345,60.608000000000004,60.885,61.174
Burkina Faso,46.049,46.983999999999995,47.81,48.486000000000004,48.992,49.323,49.492,49.55,49.545,49.505,49.45399999999999,49.409,49.373999999999995,49.36,49.38,49.445,49.556999999999995,49.713,49.913999999999994,50.168,50.489,50.893,51.38399999999999,51.956,52.602,53.31,54.063,54.841,55.618,56.376999999999995,57.096000000000004,57.761,58.373999999999995,58.937,59.45,59.919,60.354,60.768
Bangladesh,52.9,53.376000000000005,53.794,54.225,54.693000000000005,55.21,55.772,56.358999999999995,56.958,57.571000000000005,58.21,58.891000000000005,59.618,60.388000000000005,61.19,62.001999999999995,62.798,63.553000000000004,64.25,64.881,65.447,65.956,66.43,66.88600000000001,67.331,67.773,68.21300000000001,68.648,69.072,69.485,69.881,70.256,70.60600000000001,70.93,71.23100000000001,71.514,71.785,72.05199999999999
Bulgaria,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81219512
Bahrain,69.55,69.95100000000001,70.317,70.65100000000001,70.957,71.237,71.49600000000001,71.736,71.962,72.178,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.82600000000001,74.033,74.23899999999999,74.44,74.635,74.822,74.999,75.167,75.32600000000001,75.47800000000001,75.625,75.77,75.913,76.057,76.2,76.342,76.484,76.624,76.762,76.899,77.032
Bahamas,67.488,67.615,67.76899999999999,67.962,68.196,68.47399999999999,68.793,69.139,69.49600000000001,69.854,70.199,70.518,70.807,71.061,71.27600000000001,71.45100000000001,71.589,71.69800000000001,71.786,71.858,71.914,71.954,71.977,71.986,71.988,71.987,71.988,71.998,72.02199999999999,72.067,72.14399999999999,72.263,72.42399999999999,72.62,72.847,73.08800000000001,73.329,73.554
Bosnia and Herzegovina,70.399,70.601,70.82,71.061,71.315,71.53399999999999,71.65,71.626,71.461,71.184,70.877,70.645,70.577,70.725,71.093,71.645,72.307,72.976,73.569,74.05,74.403,74.637,74.803,74.941,75.068,75.19800000000001,75.342,75.498,75.665,75.844,76.031,76.219,76.40100000000001,76.569,76.723,76.865,76.998,77.128
Belarus,69.80202439,69.81917073,69.90821951,70.06465854,70.27192683,70.99268293,71.5495122,70.9902439,71.34146341,71.48292683,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829
Belize,69.577,69.921,70.257,70.575,70.865,71.11,71.294,71.405,71.437,71.38600000000001,71.242,70.99600000000001,70.66199999999999,70.268,69.845,69.439,69.1,68.858,68.734,68.734,68.847,69.04,69.27199999999999,69.51100000000001,69.749,69.998,70.286,70.63600000000001,71.059,71.541,72.057,72.57,73.044,73.452,73.782,74.03399999999999,74.219,74.365
Bermuda,72.30463415,,,,,,,,,,,74.0295122,,,,,,,,,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122
Bolivia (Plurinational State of),50.349,50.883,51.427,51.98,52.543,53.115,53.695,54.284,54.881,55.486000000000004,56.099,56.721000000000004,57.351000000000006,57.989,58.631,59.276,59.922,60.566,61.20399999999999,61.835,62.452,63.053999999999995,63.64,64.21,64.766,65.312,65.85300000000001,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945
Brazil,62.63,62.976000000000006,63.326,63.68,64.039,64.406,64.782,65.165,65.553,65.947,66.343,66.742,67.141,67.539,67.932,68.318,68.695,69.061,69.419,69.76899999999999,70.116,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.96600000000001,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456
Barbados,72.222,72.618,72.98,73.303,73.585,73.825,74.029,74.206,74.372,74.53399999999999,74.704,74.892,75.101,75.332,75.583,75.852,76.131,76.41,76.68,76.933,77.16199999999999,77.362,77.53399999999999,77.682,77.808,77.915,78.009,78.097,78.184,78.27199999999999,78.36399999999999,78.456,78.547,78.633,78.717,78.801,78.888,78.98100000000001
Brunei Darussalam,67.425,67.786,68.117,68.421,68.7,68.96,69.208,69.45,69.691,69.935,70.185,70.439,70.696,70.95100000000001,71.207,71.465,71.727,71.994,72.265,72.538,72.809,73.07600000000001,73.332,73.575,73.801,74.006,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585
Bhutan,45.464,46.20399999999999,46.95399999999999,47.702,48.442,49.173,49.901,50.632,51.372,52.122,52.878,53.633,54.38399999999999,55.131,55.878,56.636,57.418,58.236000000000004,59.089,59.974,60.88399999999999,61.808,62.728,63.623999999999995,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.66199999999999,70.046,70.419,70.781,71.12899999999999
Botswana,59.174,59.647,60.108999999999995,60.543,60.916000000000004,61.167,61.227,61.059,60.651,60.016000000000005,59.191,58.232,57.218999999999994,56.222,55.284,54.41,53.571999999999996,52.748999999999995,51.946999999999996,51.214,50.629,50.281000000000006,50.232,50.518,51.15,52.13,53.435,54.983000000000004,56.678999999999995,58.446999999999996,60.211000000000006,61.91,63.511,64.976,66.265,67.33800000000001,68.178,68.812
Central African Republic,49.153,49.476000000000006,49.713,49.872,49.955,49.966,49.912,49.797,49.623999999999995,49.397,49.104,48.728,48.266999999999996,47.731,47.143,46.53,45.922,45.353,44.857,44.461000000000006,44.19,44.06100000000001,44.063,44.181999999999995,44.413000000000004,44.744,45.158,45.636,46.161,46.718999999999994,47.312,47.95,48.638000000000005,49.371,50.129,50.881,51.593,52.24
Canada,75.07804878,75.46341463,75.76341463,76.06585366,76.21707317,76.36829268,76.5195122,76.7195122,76.9195122,77.1195122,77.42195122,77.62195122,77.72439024,77.82439024,77.82682927,78.02926829,78.18048780000001,78.43170732,78.63414634,78.88536585,79.13658537,79.33902439,79.4902439,79.74146341,79.89268293,80.19268293,80.34390244,80.54390244,80.69512195,80.99512195,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,82.1422439,82.24897561
Central Europe and the Baltics,69.89024445,70.37146867,70.45513347,70.38961177,70.34901724,70.31275918,70.56491782,70.61176333,70.86170823,70.73197226,70.65633134,70.5752213,70.73283713,70.84598662,70.86954394,71.02542143,71.33605802,71.51725807,71.89823768,72.18456107,72.71972472,73.09614819,73.24241549,73.38225278,73.737153,73.83830018,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.99348859999999,76.35516299,76.67562361,76.59107024,76.98893983,77.03396591
