,0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
16293,16293,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,185949
16711,16711,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,27421461
17173,17173,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7291436
17503,17503,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5076732
17855,17855,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,527861
18537,18537,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,7527394
19021,19021,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,103986
19703,19703,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,72326988
20055,20055,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5087213
20429,20429,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45870700
20825,20825,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,8549988
21243,21243,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,309326085
21617,21617,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,28562400
410,410,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2905195
828,828,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,36661444
1158,1158,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,41261490
1488,1488,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2876538
1906,1906,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9173082
2368,2368,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9473172
2874,2874,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,197514534
3292,3292,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,393688
3710,3710,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7348328
4128,4128,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,498856
4766,4766,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1344130000
5140,5140,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4633086
5624,5624,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11236670
6196,6196,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,9813210
6834,6834,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,863449
7230,7230,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3756441
8418,8418,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,30725300
8748,8748,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,7765800
9166,9166,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,16557201
9584,9584,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,104728
10002,10002,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3168060
10222,10222,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,2059709
10640,10640,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,5202343
11058,11058,18156,2005HepbbLithuania,Lithuania,2005,Hepbb,Industrialized,99,30000,30000,3028115
11476,11476,18866,2005HepbbMalaysia,Malaysia,2005,Hepbb,EAPR,90,421000,468000,28650955
12136,12136,20777,2005HepbbMongolia,Mongolia,2005,Hepbb,EAPR,89,46000,51000,2770362
12906,12906,23351,2005HepbbOman,Oman,2005,Hepbb,MENA,99,55000,55000,3251108
13324,13324,23963,2005HepbbPanama,Panama,2005,Hepbb,LACR,75,55000,73000,3706483
14006,14006,24575,2005HepbbPeru,Peru,2005,Hepbb,LACR,67,415000,619000,29264318
14622,14622,24958,2005HepbbPoland,Poland,2005,Hepbb,Industrialized,93,353000,380000,38063255
15040,15040,25164,2005HepbbPortugal,Portugal,2005,Hepbb,Industrialized,86,93000,109000,10557560
15458,15458,25401,2005HepbbQatar,Qatar,2005,Hepbb,MENA,99,15000,15000,2035871
15876,15876,26197,2005HepbbRomania,Romania,2005,Hepbb,CEECIS,99,219000,221000,20147528
16294,16294,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,187469
16712,16712,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,28267685
17174,17174,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7234099
17504,17504,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5183688
17856,17856,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,541521
18538,18538,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,7697510
19022,19022,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,103562
19704,19704,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,73443863
20056,20056,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5174085
20430,20430,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45706100
20826,20826,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,8946777
21244,21244,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,311580009
21618,21618,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,29339400
411,411,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2900401
829,829,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,37383887
1159,1159,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,41733271
1489,1489,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2884229
1907,1907,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9295784
2369,2369,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9464495
2875,2875,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,199287296
3293,3293,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,398989
3711,3711,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7305888
4129,4129,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,505235
4767,4767,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1350695000
5141,5141,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4688000
5625,5625,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11257101
6197,6197,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,9930911
6835,6835,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,865069
7231,7231,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3728874
8419,8419,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,31890011
8749,8749,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,7910500
9167,9167,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,16792089
9585,9585,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,106370
10003,10003,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3348853
10223,10223,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,2034319
10641,10641,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,5538634
11059,11059,18156,2005HepbbLithuania,Lithuania,2005,Hepbb,Industrialized,99,30000,30000,2987773
11477,11477,18866,2005HepbbMalaysia,Malaysia,2005,Hepbb,EAPR,90,421000,468000,29068159
12137,12137,20777,2005HepbbMongolia,Mongolia,2005,Hepbb,EAPR,89,46000,51000,2824699
12907,12907,23351,2005HepbbOman,Oman,2005,Hepbb,MENA,99,55000,55000,3498029
13325,13325,23963,2005HepbbPanama,Panama,2005,Hepbb,LACR,75,55000,73000,3770624
14007,14007,24575,2005HepbbPeru,Peru,2005,Hepbb,LACR,67,415000,619000,29506788
14623,14623,24958,2005HepbbPoland,Poland,2005,Hepbb,Industrialized,93,353000,380000,38063164
15041,15041,25164,2005HepbbPortugal,Portugal,2005,Hepbb,Industrialized,86,93000,109000,10514844
15459,15459,25401,2005HepbbQatar,Qatar,2005,Hepbb,MENA,99,15000,15000,2196074
15877,15877,26197,2005HepbbRomania,Romania,2005,Hepbb,CEECIS,99,219000,221000,20058035
16295,16295,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,189088
16713,16713,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,29155187
17175,17175,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7199077
17505,17505,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5312437
17857,17857,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,556064
18539,18539,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,7874835
19023,19023,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,102737
19705,19705,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,74653016
20057,20057,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5267900
20431,20431,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45593300
20827,20827,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,9141596
21245,21245,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,313874218
21619,21619,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,29774500
412,412,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2895092
830,830,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,38140132
1160,1160,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,42202935
1490,1490,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2897584
1908,1908,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9416801
2370,2370,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9465997
2876,2876,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,201035903
3294,3294,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,404421
3712,3712,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7265115
4130,4130,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,511748
4768,4768,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1357380000
5142,5142,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4742107
5626,5626,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11282720
6198,6198,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,10048224
6836,6836,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,865608
7232,7232,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3717668
8420,8420,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,33157050
8750,8750,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,8059500
9168,9168,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,17035550
9586,9586,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,107890
10004,10004,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3526378
10224,10224,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,2012647
10642,10642,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,5914621
11060,11060,18156,2005HepbbLithuania,Lithuania,2005,Hepbb,Industrialized,99,30000,30000,2957689
11478,11478,18866,2005HepbbMalaysia,Malaysia,2005,Hepbb,EAPR,90,421000,468000,29468872
12138,12138,20777,2005HepbbMongolia,Mongolia,2005,Hepbb,EAPR,89,46000,51000,2881792
12908,12908,23351,2005HepbbOman,Oman,2005,Hepbb,MENA,99,55000,55000,3764805
13326,13326,23963,2005HepbbPanama,Panama,2005,Hepbb,LACR,75,55000,73000,3835437
14008,14008,24575,2005HepbbPeru,Peru,2005,Hepbb,LACR,67,415000,619000,29773987
14624,14624,24958,2005HepbbPoland,Poland,2005,Hepbb,Industrialized,93,353000,380000,38040196
15042,15042,25164,2005HepbbPortugal,Portugal,2005,Hepbb,Industrialized,86,93000,109000,10457295
15460,15460,25401,2005HepbbQatar,Qatar,2005,Hepbb,MENA,99,15000,15000,2336574
15878,15878,26197,2005HepbbRomania,Romania,2005,Hepbb,CEECIS,99,219000,221000,19983693
16296,16296,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,190717
16714,16714,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,30052518
17176,17176,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7164132
17506,17506,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5399162
17858,17858,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,571335
18540,18540,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,8059769
19024,19024,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,101768
19706,19706,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,75928564
20058,20058,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5366375
20432,20432,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45489600
20828,20828,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,9197910
21246,21246,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,316057727
21620,21620,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,30243200
413,413,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2889104
831,831,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,38923687
1161,1161,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,42669500
1491,1491,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2912403
1909,1909,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9535079
2371,2371,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9474511
2877,2877,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,202763735
3295,3295,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,409769
3713,3713,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7223938
4131,4131,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,518269
4769,4769,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1364270000
5143,5143,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4795396
5627,5627,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11306902
6199,6199,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,10165178
6837,6837,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,866453
7233,7233,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3719414
8421,8421,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,34411951
8751,8751,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,8215700
9169,9169,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,17288285
9587,9587,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,109391
10005,10005,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3690942
10225,10225,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,1993782
10643,10643,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,6262410
11061,11061,18156,2005HepbbLithuania,Lithuania,2005,Hepbb,Industrialized,99,30000,30000,2932367
11479,11479,18866,2005HepbbMalaysia,Malaysia,2005,Hepbb,EAPR,90,421000,468000,29866559
12139,12139,20777,2005HepbbMongolia,Mongolia,2005,Hepbb,EAPR,89,46000,51000,2940108
12909,12909,23351,2005HepbbOman,Oman,2005,Hepbb,MENA,99,55000,55000,4027260
13327,13327,23963,2005HepbbPanama,Panama,2005,Hepbb,LACR,75,55000,73000,3901315
14009,14009,24575,2005HepbbPeru,Peru,2005,Hepbb,LACR,67,415000,619000,30090359
14625,14625,24958,2005HepbbPoland,Poland,2005,Hepbb,Industrialized,93,353000,380000,38011735
15043,15043,25164,2005HepbbPortugal,Portugal,2005,Hepbb,Industrialized,86,93000,109000,10401062
15461,15461,25401,2005HepbbQatar,Qatar,2005,Hepbb,MENA,99,15000,15000,2459198
15879,15879,26197,2005HepbbRomania,Romania,2005,Hepbb,CEECIS,99,219000,221000,19908979
16297,16297,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,192221
16715,16715,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,30916994
17177,17177,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7130576
17507,17507,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5469724
17859,17859,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,587079
18541,18541,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,8252833
19025,19025,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,101028
19707,19707,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,77231907
20059,20059,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5466328
20433,20433,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45271947
20829,20829,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,9214175
21247,21247,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,318386421
21621,21621,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,30757700
414,414,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2880703
832,832,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,39728025
1162,1162,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,43131966
1492,1492,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2925553
1910,1910,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9649341
2372,2372,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9489616
2878,2878,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,204471769
3296,3296,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,414907
3714,3714,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7177991
4132,4132,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,524743
4770,4770,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1371220000
5144,5144,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4847804
5628,5628,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11324781
6200,6200,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,10281680
6838,6838,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,868627
7234,7234,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3725276
8422,8422,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,35572261
8752,8752,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,8380100
9170,9170,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,17542806
9588,9588,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,110930
10006,10006,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3835591
10226,10226,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,1977527
10644,10644,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,6532678
11062,11062,18156,2005HepbbLithuania,Lithuania,2005,Hepbb,Industrialized,99,30000,30000,2904910
11480,11480,18866,2005HepbbMalaysia,Malaysia,2005,Hepbb,EAPR,90,421000,468000,30270962
12140,12140,20777,2005HepbbMongolia,Mongolia,2005,Hepbb,EAPR,89,46000,51000,2998439
12910,12910,23351,2005HepbbOman,Oman,2005,Hepbb,MENA,99,55000,55000,4267348
13328,13328,23963,2005HepbbPanama,Panama,2005,Hepbb,LACR,75,55000,73000,3968487
14010,14010,24575,2005HepbbPeru,Peru,2005,Hepbb,LACR,67,415000,619000,30470734
14626,14626,24958,2005HepbbPoland,Poland,2005,Hepbb,Industrialized,93,353000,380000,37986412
15044,15044,25164,2005HepbbPortugal,Portugal,2005,Hepbb,Industrialized,86,93000,109000,10358076
15462,15462,25401,2005HepbbQatar,Qatar,2005,Hepbb,MENA,99,15000,15000,2565710
15880,15880,26197,2005HepbbRomania,Romania,2005,Hepbb,CEECIS,99,219000,221000,19815481
16298,16298,27316,2005HepbbSamoa,Samoa,2005,Hepbb,EAPR,52,3000,5000,193513
16716,16716,27871,2005HepbbSaudi Arabia,Saudi Arabia,2005,Hepbb,MENA,96,555000,578000,31717667
17178,17178,28269,2005HepbbSerbia,Serbia,2005,Hepbb,CEECIS,98,111000,113000,7095383
17508,17508,28817,2005HepbbSingapore,Singapore,2005,Hepbb,EAPR,74,34000,47000,5535002
17860,17860,29361,2005HepbbSolomon Islands,Solomon Islands,2005,Hepbb,EAPR,80,13000,16000,603118
18542,18542,31354,2005HepbbTajikistan,Tajikistan,2005,Hepbb,CEECIS,98,199000,203000,8454028
19026,19026,31997,2005HepbbTonga,Tonga,2005,Hepbb,EAPR,89,3000,3000,100781
19708,19708,32591,2005HepbbTurkey,Turkey,2005,Hepbb,CEECIS,94,1245000,1324000,78529409
20060,20060,32776,2005HepbbTurkmenistan,Turkmenistan,2005,Hepbb,CEECIS,99,108000,109000,5565287
20434,20434,33315,2005HepbbUkraine,Ukraine,2005,Hepbb,CEECIS,96,420000,438000,45154029
20830,20830,33530,2005HepbbUnited Arab Emirates,United Arab Emirates,2005,Hepbb,MENA,98,70000,71000,9262900
21248,21248,34073,2005HepbbUnited States,United States,2005,Hepbb,Industrialized,50,2068000,4135000,320742673
21622,21622,34472,2005HepbbUzbekistan,Uzbekistan,2005,Hepbb,CEECIS,99,565000,570000,31298900
415,415,304,2005HepbbAlbania,Albania,2005,Hepbb,CEECIS,99,39000,39000,2876101
833,833,498,2005HepbbAlgeria,Algeria,2005,Hepbb,MENA,97,671000,692000,40551404
1163,1163,1230,2005HepbbArgentina,Argentina,2005,Hepbb,LACR,71,517000,729000,43590368
1493,1493,1443,2005HepbbArmenia,Armenia,2005,Hepbb,CEECIS,93,39000,42000,2936146
1911,1911,2009,2005HepbbAzerbaijan,Azerbaijan,2005,Hepbb,CEECIS,82,113000,138000,9757812
2373,2373,2914,2005HepbbBelarus,Belarus,2005,Hepbb,CEECIS,99,94000,95000,9501534
2879,2879,4418,2005HepbbBrazil,Brazil,2005,Hepbb,LACR,94,3014000,3206000,206163058
3297,3297,4634,2005HepbbBrunei Darussalam,Brunei Darussalam,2005,Hepbb,EAPR,96,7000,7000,419800
3715,3715,4849,2005HepbbBulgaria,Bulgaria,2005,Hepbb,CEECIS,99,72000,72000,7127822
4133,4133,5382,2005HepbbCabo Verde,Cabo Verde,2005,Hepbb,WCAR,68,8000,11000,531146
4771,4771,6565,2005HepbbChina,China,2005,Hepbb,EAPR,86,14697000,17090000,1378665000
5145,5145,7488,2005HepbbCosta Rica,Costa Rica,2005,Hepbb,LACR,89,64000,72000,4899345
5629,5629,8051,2005HepbbCuba,Cuba,2005,Hepbb,LACR,98,127000,129000,11335109
6201,6201,9431,2005HepbbDominican Republic,Dominican Republic,2005,Hepbb,LACR,75,156000,208000,10397743
6839,6839,11045,2005HepbbFiji,Fiji,2005,Hepbb,EAPR,90,17000,19000,872399
7235,7235,11962,2005HepbbGeorgia,Georgia,2005,Hepbb,CEECIS,93,48000,52000,3727505
8423,8423,14803,2005HepbbIraq,Iraq,2005,Hepbb,MENA,93,847000,910000,36610632
8753,8753,15176,2005HepbbIsrael,Israel,2005,Hepbb,Industrialized,96,134000,139000,8546000
9171,9171,16086,2005HepbbKazakhstan,Kazakhstan,2005,Hepbb,CEECIS,98,287000,293000,17794055
9589,9589,16475,2005HepbbKiribati,Kiribati,2005,Hepbb,EAPR,70,2000,3000,112524
10007,10007,16683,2005HepbbKuwait,Kuwait,2005,Hepbb,MENA,99,49000,50000,3956873
10227,10227,17238,2005HepbbLatvia,Latvia,2005,Hepbb,Industrialized,98,22000,22000,1959537
10645,10645,17443,2005HepbbLebanon,Lebanon,2005,Hepbb,MENA,94,70000,75000,6711121
