,0,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
12234,12234,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2376225
13004,13004,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2254904
14720,14720,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38660271
15138,15138,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10217828
15556,15556,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,570489
15974,15974,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,22472040
16392,16392,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,173609
19120,19120,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,97482
20924,20924,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,2966034
509,509,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3089027
1587,1587,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3069591
2973,2973,4473,2000HepbbBrazil,Brazil,2000,Hepbb,LACR,99,3479000,3514000,174790340
3391,3391,4683,2000HepbbBrunei Darussalam,Brunei Darussalam,2000,Hepbb,EAPR,99,7000,8000,333165
3809,3809,4894,2000HepbbBulgaria,Bulgaria,2000,Hepbb,CEECIS,98,64000,65000,8170172
5723,5723,8097,2000HepbbCuba,Cuba,2000,Hepbb,LACR,99,144000,145000,11126430
8847,8847,15221,2000HepbbIsrael,Israel,2000,Hepbb,Industrialized,96,121000,126000,6289000
9265,9265,16128,2000HepbbKazakhstan,Kazakhstan,2000,Hepbb,CEECIS,98,232000,236000,14883626
9683,9683,16512,2000HepbbKiribati,Kiribati,2000,Hepbb,EAPR,80,2000,3000,84396
10101,10101,16724,2000HepbbKuwait,Kuwait,2000,Hepbb,MENA,94,42000,44000,2045123
10321,10321,17288,2000HepbbLatvia,Latvia,2000,Hepbb,Industrialized,98,19000,19000,2367550
10739,10739,17486,2000HepbbLebanon,Lebanon,2000,Hepbb,MENA,90,75000,84000,3842778
11157,11157,18206,2000HepbbLithuania,Lithuania,2000,Hepbb,Industrialized,99,33000,33000,3499536
11575,11575,18909,2000HepbbMalaysia,Malaysia,2000,Hepbb,EAPR,92,467000,508000,23194257
12235,12235,20818,2000HepbbMongolia,Mongolia,2000,Hepbb,EAPR,96,44000,46000,2397418
13005,13005,23400,2000HepbbOman,Oman,2000,Hepbb,MENA,99,55000,56000,2267973
14721,14721,25004,2000HepbbPoland,Poland,2000,Hepbb,Industrialized,95,359000,378000,38258629
15139,15139,25214,2000HepbbPortugal,Portugal,2000,Hepbb,Industrialized,64,72000,113000,10289898
15557,15557,25450,2000HepbbQatar,Qatar,2000,Hepbb,MENA,99,12000,12000,592468
15975,15975,26241,2000HepbbRomania,Romania,2000,Hepbb,CEECIS,99,214000,217000,22442971
16393,16393,27357,2000HepbbSamoa,Samoa,2000,Hepbb,EAPR,86,5000,5000,174454
19121,19121,32040,2000HepbbTonga,Tonga,2000,Hepbb,EAPR,89,2000,3000,97973
20925,20925,33580,2000HepbbUnited Arab Emirates,United Arab Emirates,2000,Hepbb,MENA,98,52000,53000,3134062
510,510,349,2000HepbbAlbania,Albania,2000,Hepbb,CEECIS,98,50000,51000,3060173
1588,1588,1487,2000HepbbArmenia,Armenia,2000,Hepbb,CEECIS,97,38000,40000,3050687
