Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,17997408
2016IPV1Nicaragua,Nicaragua,2016,IPV1,LACR,99,132000,133000,6223240
2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,181137448
2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,4267348
2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,199426964
2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,3968487
2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,8107775
2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,6688746
2016IPV1Niger,Niger,2016,IPV1,WCAR,62,578000,932000,20001663
2016IPV1Mexico,Mexico,2016,IPV1,LACR,96,2129000,2218000,121858258
2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,1196302
2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1370328
2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,23822714
2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,795592
2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,48171392
2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,18209068
2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,14561666
2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,4537687
2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,23926539
2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,15766293
2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,10487998
2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,206163058
2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,2159944
2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3386267
2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,736709
2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,10872067
2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,368400
2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,285796
2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,157970840
2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,11179949
2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,78529409
2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,38225453
2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,45154029
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,9262900
2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,271130
2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,100781
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,35383128
2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,40551404
2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,94527
2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,43590368
2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,2936146
2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,9757812
2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,1425791
2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,2876101
2016IPV1Lebanon,Lebanon,2016,IPV1,MENA,96,109000,113000,5914621
2016IPV1Mauritius,Mauritius,2016,IPV1,ESAR,96,12000,13000,1262605
2016IPV1Mali,Mali,2016,IPV1,WCAR,42,300000,715000,17438778
2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,14110975
2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,4493170
2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,23298368
2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,15521436
2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,10160030
2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,204471769
2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,2120716
2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3429361
2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,727876
2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,10575952
2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,360933
2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,285324
2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,156256276
2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,1371851
2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,9649341
2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,2925553
2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,43131966
2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,18715672
2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,1174331
2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,101028
2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1362342
2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,11063201
2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,77231907
2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,17969353
2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,36912148
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,9214175
2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,263888
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,34413603
2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,2880703
2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,39728025
2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,93566
2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,45271947
2016IPV1Mauritania,Mauritania,2016,IPV1,WCAR,65,88000,136000,4046301
2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,47520667
2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,23226143
2016IPV1Maldives,Maldives,2016,IPV1,ROSA,99,7000,7000,454915
2016IPV1Madagascar,Madagascar,2016,IPV1,ESAR,49,393000,801000,24234088
2016IPV1Libya,Libya,2016,IPV1,MENA,98,126000,129000,6418315
2016IPV1Lesotho,Lesotho,2016,IPV1,ESAR,44,24000,53000,2059021
2016IPV1Lebanon,Lebanon,2016,IPV1,MENA,96,109000,113000,6532678
2016IPV1Kuwait,Kuwait,2016,IPV1,MENA,98,58000,59000,3835591
2016IPV1Kiribati,Kiribati,2016,IPV1,EAPR,81,2000,3000,110930
2016IPV1Kenya,Kenya,2016,IPV1,ESAR,70,989000,1413000,47878336
2016IPV1Kazakhstan,Kazakhstan,2016,IPV1,CEECIS,93,361000,388000,17542806
2016IPV1Jordan,Jordan,2016,IPV1,MENA,99,213000,215000,9266575
2016IPV1Jamaica,Jamaica,2016,IPV1,LACR,95,45000,47000,2891021
2016IPV1Israel,Israel,2016,IPV1,Industrialized,94,159000,169000,8380100
2016IPV1Indonesia,Indonesia,2016,IPV1,EAPR,2,96000,4808000,258383256
2016IPV1India,India,2016,IPV1,ROSA,47,11035000,23478000,1310152403
2016IPV1Honduras,Honduras,2016,IPV1,LACR,94,190000,202000,9112916
2016IPV1Haiti,Haiti,2016,IPV1,LACR,45,116000,257000,10695542
2016IPV1Guyana,Guyana,2016,IPV1,LACR,98,15000,15000,767432
2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11324781
2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,913993
2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,10281680
2016IPV1Ecuador,Ecuador,2016,IPV1,LACR,79,260000,329000,16212020
2016IPV1El Salvador,El Salvador,2016,IPV1,LACR,90,105000,116000,6325124
2016IPV1Equatorial Guinea,Equatorial Guinea,2016,IPV1,WCAR,12,5000,39000,1168568
2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,777424
2016IPV1Eswatini,Eswatini,2016,IPV1,ESAR,45,13000,29000,1104044
2016IPV1Gabon,Gabon,2016,IPV1,WCAR,74,46000,63000,1947686
2016IPV1Georgia,Georgia,2016,IPV1,CEECIS,97,54000,55000,3725276
2016IPV1Grenada,Grenada,2016,IPV1,LACR,90,2000,2000,109599
2016IPV1Guatemala,Guatemala,2016,IPV1,LACR,91,373000,410000,16252429
2016IPV1Guinea,Guinea,2016,IPV1,WCAR,45,186000,414000,11432088
2016IPV1Guinea-Bissau,Guinea-Bissau,2016,IPV1,WCAR,30,18000,61000,1737202
2016IPV1Fiji,Fiji,2016,IPV1,EAPR,99,19000,19000,868627
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,27722276
2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,19544988
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,6168838
2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,26459944
2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,5323201
2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,5847586
2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,3030328
2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,142343578
2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,2267973
2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,122283850
2016IPV1Niger,Niger,2016,IPV1,WCAR,62,578000,932000,11331557
2016IPV1Nicaragua,Nicaragua,2016,IPV1,LACR,99,132000,133000,5069302
2016IPV1Nepal,Nepal,2016,IPV1,ROSA,77,424000,551000,23941110
2016IPV1Namibia,Namibia,2016,IPV1,ESAR,46,31000,67000,1794571
2016IPV1Myanmar,Myanmar,2016,IPV1,EAPR,72,654000,909000,46719701
2016IPV1Mozambique,Mozambique,2016,IPV1,ESAR,72,726000,1008000,17711927
2016IPV1Morocco,Morocco,2016,IPV1,MENA,95,648000,682000,28793679
2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,77991755
2016IPV1Montenegro,Montenegro,2016,IPV1,CEECIS,97,7000,7000,604950
2016IPV1Mauritius,Mauritius,2016,IPV1,ESAR,96,12000,13000,1186873
2016IPV1Mauritania,Mauritania,2016,IPV1,WCAR,65,88000,136000,2630219
2016IPV1Mali,Mali,2016,IPV1,WCAR,42,300000,715000,10946445
2016IPV1Maldives,Maldives,2016,IPV1,ROSA,99,7000,7000,279398
2016IPV1Madagascar,Madagascar,2016,IPV1,ESAR,49,393000,801000,15766806
2016IPV1Libya,Libya,2016,IPV1,MENA,98,126000,129000,5357891
2016IPV1Lesotho,Lesotho,2016,IPV1,ESAR,44,24000,53000,2032804
2016IPV1Lebanon,Lebanon,2016,IPV1,MENA,96,109000,113000,3842778
2016IPV1Kuwait,Kuwait,2016,IPV1,MENA,98,58000,59000,2045123
2016IPV1Kiribati,Kiribati,2016,IPV1,EAPR,81,2000,3000,84396
2016IPV1Kenya,Kenya,2016,IPV1,ESAR,70,989000,1413000,31964557
2016IPV1Kazakhstan,Kazakhstan,2016,IPV1,CEECIS,93,361000,388000,14883626
2016IPV1Jordan,Jordan,2016,IPV1,MENA,99,213000,215000,5122493
2016IPV1Jamaica,Jamaica,2016,IPV1,LACR,95,45000,47000,2654701
2016IPV1Mexico,Mexico,2016,IPV1,LACR,96,2129000,2218000,98899845
2016IPV1Qatar,Qatar,2016,IPV1,MENA,99,25000,26000,592468
2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,146596557
2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,174454
2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,130088702
2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,697545
2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,8111200
2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,3050687
2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,37275652
2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,77212
2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,31451514
2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,3060173
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,21606988
2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,184972
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,3134062
2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,49175848
2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,23650172
2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,63240194
2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,9708350
2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1267153
2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,97973
2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,142262
2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,20663843
2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,9797734
2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7516346
2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,81131
2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,4027887
2016IPV1Israel,Israel,2016,IPV1,Industrialized,94,159000,169000,6289000
2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,412660
2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,6199394
2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,18777601
2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,27275015
2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,470949
2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,16410848
2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,884366
2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,44967708
2016IPV1Indonesia,Indonesia,2016,IPV1,EAPR,2,96000,4808000,211513823
2016IPV1India,India,2016,IPV1,ROSA,47,11035000,23478000,1056575549
2016IPV1Honduras,Honduras,2016,IPV1,LACR,94,190000,202000,6574509
2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,3069591
2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,36870787
2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,76016
2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,31042235
2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,3089027
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,20779953
2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,181265
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,2966034
2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,49673350
2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,22952410
2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,62287397
2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,9613588
2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1263933
2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,97482
2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,873136
2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,16013985
2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,465385
2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,76325927
2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,147214392
2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,173609
2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,139959
2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,20194527
2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,9568722
2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,8048600
2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7540401
2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,3958723
2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,401586
2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,44338543
2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,5933882
2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,18663284
2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,26626520
2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,80410
2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,272500
2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,664611
2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,271515
2016IPV1Haiti,Haiti,2016,IPV1,LACR,45,116000,257000,8463806
2016IPV1Guyana,Guyana,2016,IPV1,LACR,98,15000,15000,746715
2016IPV1Guinea-Bissau,Guinea-Bissau,2016,IPV1,WCAR,30,18000,61000,1201301
2016IPV1Guinea,Guinea,2016,IPV1,WCAR,45,186000,414000,8240730
2016IPV1Guatemala,Guatemala,2016,IPV1,LACR,91,373000,410000,11650743
2016IPV1Grenada,Grenada,2016,IPV1,LACR,90,2000,2000,102833
2016IPV1Georgia,Georgia,2016,IPV1,CEECIS,97,54000,55000,4077131
2016IPV1Gabon,Gabon,2016,IPV1,WCAR,74,46000,63000,1228360
2016IPV1Fiji,Fiji,2016,IPV1,EAPR,99,19000,19000,811006
2016IPV1Eswatini,Eswatini,2016,IPV1,ESAR,45,13000,29000,1005435
2016IPV1Equatorial Guinea,Equatorial Guinea,2016,IPV1,WCAR,12,5000,39000,606181
2016IPV1El Salvador,El Salvador,2016,IPV1,LACR,90,105000,116000,5887936
2016IPV1Ecuador,Ecuador,2016,IPV1,LACR,79,260000,329000,12681123
2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,8471321
2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,717584
2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11126430
2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,16454668
2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,247315
2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,6865951
2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,591021
2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3751176
2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,1643334
2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,174790340
2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,127657854
2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,6378871
2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,15513945
2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,3640427
2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,8355654
2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,15342353
2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,39629968
2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,542357
2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,12155239
2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,26078293
2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,255063
2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,603640
2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,7295394
2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,262378
2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,273425
2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,132478086
2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,735146
2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,8171950
2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,3033978
2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,37681749
2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,78295
2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,31855109
2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,3051010
2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,22600770
2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,189219
2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,3302719
2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,616018
2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,48683865
2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,64192243
2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,9793903
2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1271632
2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,98487
2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,901214
2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,16766561
2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,476579
2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,27971082
2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,18911730
2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,6447793
2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,45571274
2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,423944
2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,4138012
2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,81202
2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,24388968
2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3759387
2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,1704642
2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,179537520
2016IPV1Jordan,Jordan,2016,IPV1,MENA,99,213000,215000,5317506
2016IPV1Jamaica,Jamaica,2016,IPV1,LACR,95,45000,47000,2692845
2016IPV1Israel,Israel,2016,IPV1,Industrialized,94,159000,169000,6570000
2016IPV1Indonesia,Indonesia,2016,IPV1,EAPR,2,96000,4808000,217357793
2016IPV1India,India,2016,IPV1,ROSA,47,11035000,23478000,1093317189
2016IPV1Honduras,Honduras,2016,IPV1,LACR,94,190000,202000,6929265
2016IPV1Haiti,Haiti,2016,IPV1,LACR,45,116000,257000,8754150
2016IPV1Guyana,Guyana,2016,IPV1,LACR,98,15000,15000,744789
2016IPV1Guinea-Bissau,Guinea-Bissau,2016,IPV1,WCAR,30,18000,61000,1254453
2016IPV1Guinea,Guinea,2016,IPV1,WCAR,45,186000,414000,8586074
2016IPV1Guatemala,Guatemala,2016,IPV1,LACR,91,373000,410000,12208848
2016IPV1Grenada,Grenada,2016,IPV1,LACR,90,2000,2000,103634
2016IPV1Georgia,Georgia,2016,IPV1,CEECIS,97,54000,55000,3978515
2016IPV1Gabon,Gabon,2016,IPV1,WCAR,74,46000,63000,1288315
2016IPV1Fiji,Fiji,2016,IPV1,EAPR,99,19000,19000,815257
2016IPV1Eswatini,Eswatini,2016,IPV1,ESAR,45,13000,29000,1019059
2016IPV1Equatorial Guinea,Equatorial Guinea,2016,IPV1,WCAR,12,5000,39000,658384
2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,6704113
2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,12637727
2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,16357602
2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,3802128
2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,9019233
2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,15684409
2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7503433
2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,40875360
2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,17231539
2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11199651
2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,746942
2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,8724975
2016IPV1Ecuador,Ecuador,2016,IPV1,LACR,79,260000,329000,13143465
2016IPV1El Salvador,El Salvador,2016,IPV1,LACR,90,105000,116000,5962136
2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,569479
2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,10036104
2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,21202642
