Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,7663131
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2825929
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7765800
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1250288729
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8480671
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,752028
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10420471
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,106796
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3756441
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,693298
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15243883
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,21028655
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,706569
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,45663099
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,12360989
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4418636
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,20906388
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8958406
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,197514534
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2015402
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9813210
2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,89770
2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3604972
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,199287296
2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3542605
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,710238
2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,10004588
2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,345715
2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,152764676
2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1315029
2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,91516
2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,38140132
2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2895092
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2062536
2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,249499
2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45593300
2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,74653016
2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10847002
2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1344817
2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,102737
2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,20442541
2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,541245
2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,36193783
2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20425000
2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,9141596
2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,10113647
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,201035903
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,22077298
2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5914621
2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3526378
2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,107890
2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,17035550
2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,8520420
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2858709
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,8059500
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1280846129
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8798521
