,Unnamed: 0,0,Unnamed: 0.1,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
3715,4619,4619,18440,2016IPV1Madagascar,Madagascar,2016,IPV1,ESAR,49,393000,801000,26262368
3714,4531,4531,17849,2016IPV1Libya,Libya,2016,IPV1,MENA,98,126000,129000,6678567
3728,5653,5653,22523,2016IPV1Niger,Niger,2016,IPV1,WCAR,62,578000,932000,22442948
3713,4421,4421,17534,2016IPV1Lesotho,Lesotho,2016,IPV1,ESAR,44,24000,53000,2108132
3711,4267,4267,16565,2016IPV1Kuwait,Kuwait,2016,IPV1,MENA,98,58000,59000,4137309
3710,4179,4179,16364,2016IPV1Kiribati,Kiribati,2016,IPV1,EAPR,81,2000,3000,115847
3709,4113,4113,16180,2016IPV1Kenya,Kenya,2016,IPV1,ESAR,70,989000,1413000,51393010
3708,4025,4025,15973,2016IPV1Kazakhstan,Kazakhstan,2016,IPV1,CEECIS,93,361000,388000,18276499
3707,3937,3937,15779,2016IPV1Jordan,Jordan,2016,IPV1,MENA,99,213000,215000,9956011
3706,3849,3849,15442,2016IPV1Jamaica,Jamaica,2016,IPV1,LACR,95,45000,47000,2934855
3705,3761,3761,15066,2016IPV1Israel,Israel,2016,IPV1,Industrialized,94,159000,169000,8883800
3704,3651,3651,14340,2016IPV1Indonesia,Indonesia,2016,IPV1,EAPR,2,96000,4808000,267663435
3703,3563,3563,14183,2016IPV1India,India,2016,IPV1,ROSA,47,11035000,23478000,1352617328
3702,3475,3475,13644,2016IPV1Honduras,Honduras,2016,IPV1,LACR,94,190000,202000,9587522
3701,3409,3409,13496,2016IPV1Haiti,Haiti,2016,IPV1,LACR,45,116000,257000,11123176
3700,3321,3321,13271,2016IPV1Guyana,Guyana,2016,IPV1,LACR,98,15000,15000,779004
3699,3255,3255,13116,2016IPV1Guinea-Bissau,Guinea-Bissau,2016,IPV1,WCAR,30,18000,61000,1874309
3698,3167,3167,12959,2016IPV1Guinea,Guinea,2016,IPV1,WCAR,45,186000,414000,12414318
3712,4355,4355,17344,2016IPV1Lebanon,Lebanon,2016,IPV1,MENA,96,109000,113000,6848925
3729,5741,5741,22687,2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,195874740
3730,5829,5829,23233,2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,4829483
3731,5917,5917,23453,2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,212215030
2652,121,121,191,2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,2947314
3761,8557,8557,34552,2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,292680
3760,8447,8447,33410,2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,9630959
3759,8359,8359,33205,2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,44622516
3758,8293,8293,33048,2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,42723139
3757,8183,8183,32474,2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,82319724
3756,8095,8095,32287,2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,11565204
3755,8007,8007,32087,2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1389858
3754,7919,7919,31887,2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,103197
3753,7831,7831,31614,2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,1267972
3752,7677,7677,31052,2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,16906283
3751,7589,7589,30530,2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,575991
3750,7501,7501,30370,2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,41801533
3749,7435,7435,29980,2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,21670000
3748,7347,7347,29754,2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,10975920
3747,7259,7259,29566,2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,57779622
3746,7149,7149,29269,2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,652858
3732,6005,6005,23830,2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,4176873
3733,6093,6093,24062,2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,8606316
3734,6159,6159,24231,2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,6956071
3735,6225,6225,24438,2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,31989256
3736,6313,6313,24669,2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,106651922
3737,6379,6379,25275,2016IPV1Qatar,Qatar,2016,IPV1,MENA,99,25000,26000,2781677
3697,3101,3101,12782,2016IPV1Guatemala,Guatemala,2016,IPV1,LACR,91,373000,410000,17247807
3738,6467,6467,26287,2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,144478050
3740,6643,6643,27580,2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,211028
3741,6709,6709,27749,2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,33699947
3742,6775,6775,27977,2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,15854360
3743,6863,6863,28159,2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,6982084
3744,6951,6951,28357,2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,96762
3745,7061,7061,28706,2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,5638676
3739,6577,6577,27209,2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,196130
3696,3013,3013,12604,2016IPV1Grenada,Grenada,2016,IPV1,LACR,90,2000,2000,111454
3695,2903,2903,11850,2016IPV1Georgia,Georgia,2016,IPV1,CEECIS,97,54000,55000,3731000
3694,2837,2837,11486,2016IPV1Gabon,Gabon,2016,IPV1,WCAR,74,46000,63000,2119275
3658,8358,8358,33205,2016IPV1Ukraine,Ukraine,2016,IPV1,CEECIS,75,335000,446000,44831135
3657,8292,8292,33048,2016IPV1Uganda,Uganda,2016,IPV1,ESAR,44,663000,1507000,41162465
3656,8182,8182,32474,2016IPV1Turkey,Turkey,2016,IPV1,CEECIS,96,1250000,1302000,81101892
3655,8094,8094,32287,2016IPV1Tunisia,Tunisia,2016,IPV1,MENA,98,201000,205000,11433443
3654,8006,8006,32087,2016IPV1Trinidad and Tobago,Trinidad and Tobago,2016,IPV1,LACR,96,18000,18000,1384072
3653,7918,7918,31887,2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,101998
3652,7830,7830,31614,2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,1243261
3651,7676,7676,31052,2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,17068002
3650,7588,7588,30530,2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,570496
3649,7500,7500,30370,2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,40813396
3648,7434,7434,29980,2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,21444000
3647,7346,7346,29754,2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,10910759
3646,7258,7258,29566,2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,57000451
3645,7148,7148,29269,2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,636038
3644,7060,7060,28706,2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,5612253
3643,6950,6950,28357,2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,95843
3642,6862,6862,28159,2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7020858
3628,5740,5740,22687,2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,190873311
3629,5828,5828,23233,2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,4665935
3630,5916,5916,23453,2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,207896686
3631,6004,6004,23830,2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,4106771
3632,6092,6092,24062,2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,8438029
3633,6158,6158,24231,2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,6867062
3659,8446,8446,33410,2016IPV1United Arab Emirates,United Arab Emirates,2016,IPV1,MENA,99,100000,101000,9487203
3634,6224,6224,24438,2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,31444297
3636,6378,6378,25275,2016IPV1Qatar,Qatar,2016,IPV1,MENA,99,25000,26000,2724724
3637,6466,6466,26287,2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,144496740
3638,6576,6576,27209,2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,195352
3639,6642,6642,27580,2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,207089
3640,6708,6708,27749,2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,33099147
3641,6774,6774,27977,2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,15419381
3635,6312,6312,24669,2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,105173264
3626,5564,5564,22326,2016IPV1Nicaragua,Nicaragua,2016,IPV1,LACR,99,132000,133000,6384855
3660,8556,8556,34552,2016IPV1Vanuatu,Vanuatu,2016,IPV1,EAPR,50,4000,8000,285510
3662,131,131,191,2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,2866376
3693,2771,2771,10928,2016IPV1Fiji,Fiji,2016,IPV1,EAPR,99,19000,19000,883483
3692,2661,2661,10603,2016IPV1Eswatini,Eswatini,2016,IPV1,ESAR,45,13000,29000,1136191
3691,2573,2573,10134,2016IPV1Equatorial Guinea,Equatorial Guinea,2016,IPV1,WCAR,12,5000,39000,1308974
3690,2507,2507,9929,2016IPV1El Salvador,El Salvador,2016,IPV1,LACR,90,105000,116000,6420744
3689,2419,2419,9526,2016IPV1Ecuador,Ecuador,2016,IPV1,LACR,79,260000,329000,17084357
3688,2331,2331,9324,2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,10627165
3687,2265,2265,8980,2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,958920
3686,2199,2199,7942,2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11338138
3685,2111,2111,7587,2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,25069229
3684,2045,2045,6868,2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,832322
3683,1957,1957,6648,2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,49648685
3682,1847,1847,6280,2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,18729160
3681,1759,1759,6118,2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,15477751
3680,1671,1671,5956,2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,4666377
3679,1583,1583,5624,2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,25216237
3678,1517,1517,5461,2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,16249798
3677,1385,1385,5125,2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,11175378
3663,219,219,400,2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,42228429
3664,329,329,930,2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,96286
3665,417,417,1106,2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,44494502
3666,483,483,1332,2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,2951776
3667,549,549,1902,2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,9942334
3668,615,615,2275,2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,1569439
3661,65,65,29,2016IPV1Afghanistan,Afghanistan,2016,IPV1,ROSA,66,747000,1132000,37172386
3669,703,703,2475,2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,161356039
3671,857,857,3184,2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,383071
3672,945,945,3371,2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,11485048
3673,1033,1033,3544,2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,754394
3674,1121,1121,3918,2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3323929
3675,1209,1209,4107,2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,2254126
3676,1297,1297,4279,2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,209469333
3670,791,791,2630,2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,286641
3486,2329,2329,9324,2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,10397743
3485,2263,2263,8980,2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,929112
3484,2197,2197,7942,2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11335109
3308,4351,4351,17344,2016IPV1Lebanon,Lebanon,2016,IPV1,MENA,96,109000,113000,6262410
3307,4263,4263,16565,2016IPV1Kuwait,Kuwait,2016,IPV1,MENA,98,58000,59000,3690942
3306,4175,4175,16364,2016IPV1Kiribati,Kiribati,2016,IPV1,EAPR,81,2000,3000,109391
3305,4109,4109,16180,2016IPV1Kenya,Kenya,2016,IPV1,ESAR,70,989000,1413000,46699981
3304,4021,4021,15973,2016IPV1Kazakhstan,Kazakhstan,2016,IPV1,CEECIS,93,361000,388000,17288285
3303,3933,3933,15779,2016IPV1Jordan,Jordan,2016,IPV1,MENA,99,213000,215000,8920049
3302,3845,3845,15442,2016IPV1Jamaica,Jamaica,2016,IPV1,LACR,95,45000,47000,2875136
3301,3757,3757,15066,2016IPV1Israel,Israel,2016,IPV1,Industrialized,94,159000,169000,8215700
3300,3647,3647,14340,2016IPV1Indonesia,Indonesia,2016,IPV1,EAPR,2,96000,4808000,255129004
3299,3559,3559,14183,2016IPV1India,India,2016,IPV1,ROSA,47,11035000,23478000,1295604184
3298,3471,3471,13644,2016IPV1Honduras,Honduras,2016,IPV1,LACR,94,190000,202000,8955589
3297,3405,3405,13496,2016IPV1Haiti,Haiti,2016,IPV1,LACR,45,116000,257000,10549008
3296,3317,3317,13271,2016IPV1Guyana,Guyana,2016,IPV1,LACR,98,15000,15000,763380
3295,3251,3251,13116,2016IPV1Guinea-Bissau,Guinea-Bissau,2016,IPV1,WCAR,30,18000,61000,1692439
3309,4417,4417,17534,2016IPV1Lesotho,Lesotho,2016,IPV1,ESAR,44,24000,53000,2043437
3294,3163,3163,12959,2016IPV1Guinea,Guinea,2016,IPV1,WCAR,45,186000,414000,11150977
3292,3009,3009,12604,2016IPV1Grenada,Grenada,2016,IPV1,LACR,90,2000,2000,108902
3291,2899,2899,11850,2016IPV1Georgia,Georgia,2016,IPV1,CEECIS,97,54000,55000,3719414
3290,2833,2833,11486,2016IPV1Gabon,Gabon,2016,IPV1,WCAR,74,46000,63000,1883800
3289,2767,2767,10928,2016IPV1Fiji,Fiji,2016,IPV1,EAPR,99,19000,19000,866453
3288,2657,2657,10603,2016IPV1Eswatini,Eswatini,2016,IPV1,ESAR,45,13000,29000,1095021
3287,2569,2569,10134,2016IPV1Equatorial Guinea,Equatorial Guinea,2016,IPV1,WCAR,12,5000,39000,1122276
3286,2503,2503,9929,2016IPV1El Salvador,El Salvador,2016,IPV1,LACR,90,105000,116000,6295128
3285,2415,2415,9526,2016IPV1Ecuador,Ecuador,2016,IPV1,LACR,79,260000,329000,15951838
3284,2327,2327,9324,2016IPV1Dominican Republic,Dominican Republic,2016,IPV1,LACR,96,195000,203000,10165178
3283,2261,2261,8980,2016IPV1Djibouti,Djibouti,2016,IPV1,MENA,46,9000,20000,898696
3282,2195,2195,7942,2016IPV1Cuba,Cuba,2016,IPV1,LACR,99,118000,120000,11306902
3281,2107,2107,7587,2016IPV1Cote d'Ivoire,Cote d'Ivoire,2016,IPV1,WCAR,50,405000,811000,22647683
3280,2041,2041,6868,2016IPV1Comoros,Comoros,2016,IPV1,ESAR,91,22000,25000,759390
3279,1953,1953,6648,2016IPV1Colombia,Colombia,2016,IPV1,LACR,92,673000,731000,46969209
3293,3097,3097,12782,2016IPV1Guatemala,Guatemala,2016,IPV1,LACR,91,373000,410000,15923243
3310,4527,4527,17849,2016IPV1Libya,Libya,2016,IPV1,MENA,98,126000,129000,6362037
3311,4615,4615,18440,2016IPV1Madagascar,Madagascar,2016,IPV1,ESAR,49,393000,801000,23589887
3312,4703,4703,18960,2016IPV1Maldives,Maldives,2016,IPV1,ROSA,99,7000,7000,435015
3343,7255,7255,29566,2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,54545991
3342,7145,7145,29269,2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,587079
3341,7057,7057,28706,2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,5469724
3340,6947,6947,28357,2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,91359
3339,6859,6859,28159,2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7130576
3338,6771,6771,27977,2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,14174731
3337,6705,6705,27749,2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,30916994
3336,6639,6639,27580,2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,195727
3335,6573,6573,27209,2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,192221
3334,6463,6463,26287,2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,143819666
3333,6375,6375,25275,2016IPV1Qatar,Qatar,2016,IPV1,MENA,99,25000,26000,2459198
3332,6309,6309,24669,2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,100513138
3331,6221,6221,24438,2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,30090359
3330,6155,6155,24231,2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,6599526
3329,6089,6089,24062,2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,7946731
3328,6001,6001,23830,2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,3901315
3327,5913,5913,23453,2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,195306825
3313,4791,4791,19128,2016IPV1Mali,Mali,2016,IPV1,WCAR,42,300000,715000,16934220
3314,4857,4857,19698,2016IPV1Mauritania,Mauritania,2016,IPV1,WCAR,65,88000,136000,3930896
3315,4945,4945,19851,2016IPV1Mauritius,Mauritius,2016,IPV1,ESAR,96,12000,13000,1260934
3316,5011,5011,20046,2016IPV1Mexico,Mexico,2016,IPV1,LACR,96,2129000,2218000,120355128
3317,5099,5099,20865,2016IPV1Montenegro,Montenegro,2016,IPV1,CEECIS,97,7000,7000,621810
3318,5187,5187,20992,2016IPV1Morocco,Morocco,2016,IPV1,MENA,95,648000,682000,34192347
3278,1843,1843,6280,2016IPV1Chile,Chile,2016,IPV1,LACR,99,234000,236000,17758959
3319,5275,5275,21179,2016IPV1Mozambique,Mozambique,2016,IPV1,ESAR,72,726000,1008000,26286163
3321,5407,5407,21492,2016IPV1Namibia,Namibia,2016,IPV1,ESAR,46,31000,67000,2273430
3322,5473,5473,21831,2016IPV1Nepal,Nepal,2016,IPV1,ROSA,77,424000,551000,26906926
3323,5561,5561,22326,2016IPV1Nicaragua,Nicaragua,2016,IPV1,LACR,99,132000,133000,6142733
3324,5649,5649,22523,2016IPV1Niger,Niger,2016,IPV1,WCAR,62,578000,932000,19240157
3325,5737,5737,22687,2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,176404902
3326,5825,5825,23233,2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,4027260
3320,5341,5341,21335,2016IPV1Myanmar,Myanmar,2016,IPV1,EAPR,72,654000,909000,52280807
3277,1755,1755,6118,2016IPV1Chad,Chad,2016,IPV1,WCAR,41,238000,581000,13663559
3276,1667,1667,5956,2016IPV1Central African Republic,Central African Republic,2016,IPV1,WCAR,47,71000,151000,4464175
3275,1579,1579,5624,2016IPV1Cameroon,Cameroon,2016,IPV1,WCAR,79,645000,817000,22681858
3239,6946,6946,28357,2016IPV1Seychelles,Seychelles,2016,IPV1,ESAR,99,2000,2000,89949
3238,6858,6858,28159,2016IPV1Serbia,Serbia,2016,IPV1,CEECIS,97,82000,84000,7164132
3237,6770,6770,27977,2016IPV1Senegal,Senegal,2016,IPV1,WCAR,72,373000,518000,13782420
3236,6704,6704,27749,2016IPV1Saudi Arabia,Saudi Arabia,2016,IPV1,MENA,98,592000,604000,30052518
3235,6638,6638,27580,2016IPV1Sao Tome and Principe,Sao Tome and Principe,2016,IPV1,WCAR,67,4000,6000,192087
3234,6572,6572,27209,2016IPV1Samoa,Samoa,2016,IPV1,EAPR,94,5000,5000,190717
3233,6462,6462,26287,2016IPV1Russian Federation,Russian Federation,2016,IPV1,CEECIS,97,1821000,1877000,143506911
3232,6374,6374,25275,2016IPV1Qatar,Qatar,2016,IPV1,MENA,99,25000,26000,2336574
3231,6308,6308,24669,2016IPV1Philippines,Philippines,2016,IPV1,EAPR,37,810000,2190000,98871552
3230,6220,6220,24438,2016IPV1Peru,Peru,2016,IPV1,LACR,94,529000,563000,29773987
3229,6154,6154,24231,2016IPV1Paraguay,Paraguay,2016,IPV1,LACR,94,131000,140000,6510276
3228,6088,6088,24062,2016IPV1Papua New Guinea,Papua New Guinea,2016,IPV1,EAPR,14,31000,219000,7788379
3227,6000,6000,23830,2016IPV1Panama,Panama,2016,IPV1,LACR,96,75000,78000,3835437
3226,5912,5912,23453,2016IPV1Pakistan,Pakistan,2016,IPV1,ROSA,56,3091000,5520000,191262919
3225,5824,5824,23233,2016IPV1Oman,Oman,2016,IPV1,MENA,99,87000,88000,3764805
3224,5736,5736,22687,2016IPV1Nigeria,Nigeria,2016,IPV1,WCAR,57,3854000,6761000,171765769
3223,5648,5648,22523,2016IPV1Niger,Niger,2016,IPV1,WCAR,62,578000,932000,18504255
3209,4526,4526,17849,2016IPV1Libya,Libya,2016,IPV1,MENA,98,126000,129000,6320359
3210,4614,4614,18440,2016IPV1Madagascar,Madagascar,2016,IPV1,ESAR,49,393000,801000,22961253
3211,4702,4702,18960,2016IPV1Maldives,Maldives,2016,IPV1,ROSA,99,7000,7000,415593
3212,4790,4790,19128,2016IPV1Mali,Mali,2016,IPV1,WCAR,42,300000,715000,16449864
3213,4856,4856,19698,2016IPV1Mauritania,Mauritania,2016,IPV1,WCAR,65,88000,136000,3817494
3214,4944,4944,19851,2016IPV1Mauritius,Mauritius,2016,IPV1,ESAR,96,12000,13000,1258653
3240,7056,7056,28706,2016IPV1Singapore,Singapore,2016,IPV1,EAPR,98,50000,51000,5399162
3215,5010,5010,20046,2016IPV1Mexico,Mexico,2016,IPV1,LACR,96,2129000,2218000,118827161
3217,5186,5186,20992,2016IPV1Morocco,Morocco,2016,IPV1,MENA,95,648000,682000,33715693
3218,5274,5274,21179,2016IPV1Mozambique,Mozambique,2016,IPV1,ESAR,72,726000,1008000,25560725
3219,5340,5340,21335,2016IPV1Myanmar,Myanmar,2016,IPV1,EAPR,72,654000,909000,51852451
3220,5406,5406,21492,2016IPV1Namibia,Namibia,2016,IPV1,ESAR,46,31000,67000,2233510
3221,5472,5472,21831,2016IPV1Nepal,Nepal,2016,IPV1,ROSA,77,424000,551000,26917906
3222,5560,5560,22326,2016IPV1Nicaragua,Nicaragua,2016,IPV1,LACR,99,132000,133000,6062454
3216,5098,5098,20865,2016IPV1Montenegro,Montenegro,2016,IPV1,CEECIS,97,7000,7000,621207
3344,7343,7343,29754,2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,10554883
3241,7144,7144,29269,2016IPV1Solomon Islands,Solomon Islands,2016,IPV1,EAPR,67,14000,20000,571335
3243,7342,7342,29754,2016IPV1South Sudan,South Sudan,2016,IPV1,ESAR,34,122000,360000,10355036
3274,1513,1513,5461,2016IPV1Cambodia,Cambodia,2016,IPV1,EAPR,82,294000,358000,15274503
3273,1381,1381,5125,2016IPV1Burundi,Burundi,2016,IPV1,ESAR,60,243000,405000,9844297
3272,1293,1293,4279,2016IPV1Brazil,Brazil,2016,IPV1,LACR,80,2328000,2910000,202763735
3271,1205,1205,4107,2016IPV1Botswana,Botswana,2016,IPV1,ESAR,49,27000,55000,2088614
3270,1117,1117,3918,2016IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2016,IPV1,CEECIS,58,17000,29000,3482104
3269,1029,1029,3544,2016IPV1Bhutan,Bhutan,2016,IPV1,ROSA,90,11000,13000,719056
3268,941,941,3371,2016IPV1Benin,Benin,2016,IPV1,WCAR,62,234000,378000,10286842
3267,853,853,3184,2016IPV1Belize,Belize,2016,IPV1,LACR,93,7000,8000,353366
3266,787,787,2630,2016IPV1Barbados,Barbados,2016,IPV1,LACR,99,3000,3000,284825
3265,699,699,2475,2016IPV1Bangladesh,Bangladesh,2016,IPV1,ROSA,11,318000,2890000,154520167
3264,611,611,2275,2016IPV1Bahrain,Bahrain,2016,IPV1,MENA,99,21000,22000,1336075
3263,545,545,1902,2016IPV1Azerbaijan,Azerbaijan,2016,IPV1,CEECIS,88,151000,171000,9535079
3262,479,479,1332,2016IPV1Armenia,Armenia,2016,IPV1,CEECIS,34,14000,42000,2912403
3261,413,413,1106,2016IPV1Argentina,Argentina,2016,IPV1,LACR,56,419000,748000,42669500
3260,325,325,930,2016IPV1Antigua and Barbuda,Antigua and Barbuda,2016,IPV1,LACR,86,1000,1000,92562
3259,215,215,400,2016IPV1Algeria,Algeria,2016,IPV1,MENA,94,942000,1002000,38923687
3258,127,127,191,2016IPV1Albania,Albania,2016,IPV1,CEECIS,98,34000,35000,2889104
3244,7430,7430,29980,2016IPV1Sri Lanka,Sri Lanka,2016,IPV1,ROSA,99,338000,341000,20585000
3245,7496,7496,30370,2016IPV1Sudan,Sudan,2016,IPV1,MENA,64,804000,1256000,37072550
3246,7584,7584,30530,2016IPV1Suriname,Suriname,2016,IPV1,LACR,96,10000,11000,547291
3247,7672,7672,31052,2016IPV1Syrian Arab Republic,Syrian Arab Republic,2016,IPV1,MENA,58,255000,440000,19584274
3248,7826,7826,31614,2016IPV1Timor-Leste,Timor-Leste,2016,IPV1,EAPR,48,17000,35000,1153295
3249,7914,7914,31887,2016IPV1Tonga,Tonga,2016,IPV1,EAPR,82,2000,3000,101768
3242,7254,7254,29566,2016IPV1South Africa,South Africa,2016,IPV1,ESAR,86,1000000,1163000,53689236
