,Unnamed: 0,0,Unnamed: 0.1,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
976,8197,8197,32486,2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,72326988
985,872,872,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,330237
975,8109,8109,32298,2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10635244
973,7933,7933,31898,2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103986
972,7691,7691,31062,2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,21362529
971,7603,7603,30541,2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,529131
970,7515,7515,30381,2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,34545013
969,7449,7449,29990,2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20261737
968,7361,7361,29762,2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,9508364
967,7273,7273,29577,2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,51216964
966,7163,7163,29280,2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,527861
965,7075,7075,28718,2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5076732
974,8021,8021,32098,2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1328147
1010,4194,4194,16377,2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,104728
986,960,960,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,9460830
988,1136,1136,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3661175
1008,3952,3952,15790,2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,7663131
1007,3864,3864,15452,2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2825929
1006,3776,3776,15078,2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7765800
1005,3578,3578,14194,2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1250288729
1004,3490,3490,13656,2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8480671
1003,3336,3336,13284,2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,752028
1002,3182,3182,12968,2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10420471
1001,3028,3028,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,106796
1000,2918,2918,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3756441
987,1048,1048,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,693298
999,2434,2434,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15243883
997,2126,2126,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,21028655
996,2060,2060,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,706569
995,1972,1972,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,45663099
994,1774,1774,6127,2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,12360989
993,1686,1686,5966,2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4418636
992,1598,1598,5635,2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,20906388
991,1400,1400,5136,2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8958406
990,1312,1312,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,197514534
989,1224,1224,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2015402
998,2346,2346,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9813210
964,6965,6965,28367,2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,89770
1058,1137,1137,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3604972
1060,1313,1313,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,199287296
1128,1138,1138,3928,2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3542605
1127,1050,1050,3555,2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,710238
1126,962,962,3381,2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,10004588
1125,874,874,3194,2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,345715
1124,720,720,2486,2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,152764676
1123,632,632,2287,2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1315029
1122,346,346,939,2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,91516
1121,236,236,411,2015IPV1Algeria,Algeria,2015,IPV1,MENA,8,79000,991000,38140132
1120,148,148,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2895092
1129,1226,1226,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2062536
1119,8573,8573,34561,2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,249499
1117,8375,8375,33216,2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,45593300
1116,8199,8199,32486,2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,74653016
1115,8111,8111,32298,2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10847002
1114,8023,8023,32098,2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1344817
1113,7935,7935,31898,2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,102737
1112,7693,7693,31062,2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,20442541
1111,7605,7605,30541,2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,541245
1110,7517,7517,30381,2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,36193783
1109,7451,7451,29990,2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,20425000
1118,8463,8463,33423,2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,9141596
1108,7363,7363,29762,2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,10113647
1130,1314,1314,4293,2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,201035903
1132,1600,1600,5635,2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,22077298
1152,4372,4372,17354,2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5914621
1151,4284,4284,16577,2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3526378
1150,4196,4196,16377,2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,107890
1149,4042,4042,15985,2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,17035550
1148,3954,3954,15790,2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,8520420
1147,3866,3866,15452,2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2858709
1146,3778,3778,15078,2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,8059500
1145,3580,3580,14194,2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1280846129
1144,3492,3492,13656,2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8798521
1131,1402,1402,5136,2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,9540289
1143,3338,3338,13284,2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,759285
1141,3030,3030,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,108170
1140,2920,2920,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3717668
1139,2436,2436,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15707474
1138,2348,2348,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,10048224
1137,2128,2128,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,22087505
1136,2062,2062,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,741505
1135,1974,1974,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,46497267
1134,1776,1776,6127,2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,13220424
1133,1688,1688,5966,2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4447942
1142,3184,3184,12968,2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10892810
1059,1225,1225,4119,2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,2039551
1107,7275,7275,29577,2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,52834005
1105,7077,7077,28718,2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,5312437
1080,4195,4195,16377,2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,106370
1079,4041,4041,15985,2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,16792089
1078,3953,3953,15790,2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,8090872
1077,3865,3865,15452,2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2842132
1076,3777,3777,15078,2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7910500
1075,3579,3579,14194,2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1265782790
1074,3491,3491,13656,2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8640691
1073,3337,3337,13284,2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,755399
1072,3183,3183,12968,2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10652029
1081,4283,4283,16577,2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,3348853
1071,3029,3029,12613,2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,107446
1069,2435,2435,9540,2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15474102
1068,2347,2347,9336,2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9930911
1067,2127,2127,7597,2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,21547188
1066,2061,2061,6876,2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,723871
1065,1973,1973,6661,2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,46076848
1064,1775,1775,6127,2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,12784750
1063,1687,1687,5966,2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4436415
1062,1599,1599,5635,2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,21485266
1061,1401,1401,5136,2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,9245988
1070,2919,2919,11863,2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3728874
1106,7165,7165,29280,2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,556064
1082,4371,4371,17354,2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,5538634
1084,4635,4635,18450,2015IPV1Madagascar,Madagascar,2015,IPV1,ESAR,30,235000,785000,22346641
1104,6967,6967,28367,2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,88303
1103,6879,6879,28170,2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7199077
1102,6791,6791,27990,2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,13401991
1101,6725,6725,27762,2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,29155187
1100,6483,6483,26297,2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,143201676
1099,6395,6395,25288,2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,2196074
1098,6241,6241,24452,2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,29506788
1097,6021,6021,23844,2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3770624
1096,5933,5933,23463,2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,187281475
1083,4547,4547,17861,2015IPV1Libya,Libya,2015,IPV1,MENA,98,128000,131000,6285750
1095,5845,5845,23245,2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,3498029
1093,5669,5669,22535,2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,17795191
1092,5581,5581,22337,2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5982526
1091,5493,5493,21842,2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,26989862
1090,5361,5361,21346,2015IPV1Myanmar,Myanmar,2015,IPV1,EAPR,8,73000,911000,51413698
1089,5207,5207,21005,2015IPV1Morocco,Morocco,2015,IPV1,MENA,33,227000,688000,33241898
1088,5119,5119,20875,2015IPV1Montenegro,Montenegro,2015,IPV1,CEECIS,96,7000,7000,620601
1087,5031,5031,20059,2015IPV1Mexico,Mexico,2015,IPV1,LACR,99,2208000,2230000,117274155
1086,4877,4877,19708,2015IPV1Mauritania,Mauritania,2015,IPV1,WCAR,6,8000,134000,3706554
1085,4723,4723,18970,2015IPV1Maldives,Maldives,2015,IPV1,ROSA,82,6000,7000,397237
1094,5757,5757,22697,2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,167228767
963,6877,6877,28170,2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7291436
962,6789,6789,27990,2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,12678148
961,6723,6723,27762,2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,27421461
839,8569,8569,34561,2015IPV1Vanuatu,Vanuatu,2015,IPV1,EAPR,4,500,8000,224704
838,8459,8459,33423,2015IPV1United Arab Emirates,United Arab Emirates,2015,IPV1,MENA,99,100000,101000,7089487
837,8371,8371,33216,2015IPV1Ukraine,Ukraine,2015,IPV1,CEECIS,59,271000,460000,46258200
836,8195,8195,32486,2015IPV1Turkey,Turkey,2015,IPV1,CEECIS,97,1261000,1300000,70418604
835,8107,8107,32298,2015IPV1Tunisia,Tunisia,2015,IPV1,MENA,98,202000,207000,10414433
834,8019,8019,32098,2015IPV1Trinidad and Tobago,Trinidad and Tobago,2015,IPV1,LACR,6,1000,19000,1314443
833,7931,7931,31898,2015IPV1Tonga,Tonga,2015,IPV1,EAPR,34,1000,3000,103379
832,7689,7689,31062,2015IPV1Syrian Arab Republic,Syrian Arab Republic,2015,IPV1,MENA,59,268000,455000,20664038
831,7601,7601,30541,2015IPV1Suriname,Suriname,2015,IPV1,LACR,12,1000,11000,517123
840,144,144,203,2015IPV1Albania,Albania,2015,IPV1,CEECIS,99,35000,35000,2927519
830,7513,7513,30381,2015IPV1Sudan,Sudan,2015,IPV1,MENA,69,855000,1239000,33060837
828,7359,7359,29762,2015IPV1South Sudan,South Sudan,2015,IPV1,ESAR,3,11000,358000,8736939
827,7271,7271,29577,2015IPV1South Africa,South Africa,2015,IPV1,ESAR,91,1061000,1166000,49779471
826,7161,7161,29280,2015IPV1Solomon Islands,Solomon Islands,2015,IPV1,EAPR,7,1000,20000,503360
825,7073,7073,28718,2015IPV1Singapore,Singapore,2015,IPV1,EAPR,98,50000,51000,4839396
824,6963,6963,28367,2015IPV1Seychelles,Seychelles,2015,IPV1,ESAR,35,1000,2000,86956
823,6875,6875,28170,2015IPV1Serbia,Serbia,2015,IPV1,CEECIS,98,83000,85000,7350222
822,6787,6787,27990,2015IPV1Senegal,Senegal,2015,IPV1,WCAR,81,414000,511000,12004701
821,6721,6721,27762,2015IPV1Saudi Arabia,Saudi Arabia,2015,IPV1,MENA,98,595000,607000,25888541
820,6479,6479,26297,2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,142742350
829,7447,7447,29990,2015IPV1Sri Lanka,Sri Lanka,2015,IPV1,ROSA,47,162000,344000,19983984
819,6391,6391,25288,2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,1436665
