,0,0.1,Unnamed: 0,Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
636,6153,6153,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3604972
666,38097,38097,32814,2000MCV2Turkmenistan,Turkmenistan,2000,MCV2,CEECIS,92,106000,115000,5267900
667,38515,38515,33361,2000MCV2Ukraine,Ukraine,2000,MCV2,CEECIS,99,542000,548000,45593300
668,38933,38933,33583,2000MCV2United Arab Emirates,United Arab Emirates,2000,MCV2,MENA,92,49000,54000,9141596
669,39351,39351,33751,2000MCV2United Kingdom,United Kingdom,2000,MCV2,Industrialized,76,541000,711000,63700300
670,39769,39769,34119,2000MCV2United States,United States,2000,MCV2,Industrialized,85,3341000,3930000,313874218
671,40319,40319,34510,2000MCV2Uzbekistan,Uzbekistan,2000,MCV2,CEECIS,98,563000,574000,29774500
672,1138,1138,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,38140132
673,1952,1952,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,42202935
674,2370,2370,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2897584
675,3118,3118,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8479823
676,3932,3932,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1315029
677,4900,4900,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9465997
678,6154,6154,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3542605
679,6704,6704,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,201035903
680,7122,7122,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,404421
681,7540,7540,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7265115
682,9322,9322,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,46497267
683,12182,12182,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1317997
684,15658,15658,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,9893082
685,18518,18518,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,8520420
686,18936,18936,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,17035550
687,19970,19970,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2012647
688,20388,20388,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,5914621
689,21598,21598,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,2957689
690,23512,23512,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,118827161
665,37283,37283,32424,2000MCV2Tunisia,Tunisia,2000,MCV2,MENA,98,181000,184000,10847002
579,35631,35631,31392,2000MCV2Tajikistan,Tajikistan,2000,MCV2,CEECIS,59,104000,176000,7527394
664,36051,36051,31562,2000MCV2Thailand,Thailand,2000,MCV2,EAPR,99,1000000,1010000,67835957
662,35215,35215,31198,2000MCV2Syrian Arab Republic,Syrian Arab Republic,2000,MCV2,MENA,80,386000,482000,20442541
637,6703,6703,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,199287296
638,7121,7121,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,398989
639,7539,7539,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7305888
640,9321,9321,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,46076848
641,12181,12181,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1322696
642,15657,15657,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,9920362
643,18517,18517,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,8090872
644,18935,18935,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,16792089
645,19969,19969,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2034319
646,20387,20387,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,5538634
647,21597,21597,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,2987773
648,23511,23511,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,117274155
649,23929,23929,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2824699
650,25909,25909,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,5018573
651,26327,26327,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,3498029
652,26965,26965,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3770624
653,28175,28175,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,38063164
654,28593,28593,25217,2000MCV2Portugal,Portugal,2000,MCV2,Industrialized,48,51000,105000,10514844
655,29385,29385,26243,2000MCV2Romania,Romania,2000,MCV2,CEECIS,96,236000,246000,20058035
656,29803,29803,26418,2000MCV2Russian Federation,Russian Federation,2000,MCV2,CEECIS,86,1261000,1466000,143201676
657,31299,31299,28308,2000MCV2Serbia,Serbia,2000,MCV2,CEECIS,78,117000,150000,7199077
658,32201,32201,28861,2000MCV2Singapore,Singapore,2000,MCV2,EAPR,98,48000,49000,5312437
659,32619,32619,29219,2000MCV2Slovenia,Slovenia,2000,MCV2,Industrialized,98,19000,19000,2057159
660,33059,33059,29713,2000MCV2South Africa,South Africa,2000,MCV2,ESAR,62,599000,966000,52834005
661,34489,34489,30846,2000MCV2Sweden,Sweden,2000,MCV2,Industrialized,94,109000,116000,9519374
663,35633,35633,31392,2000MCV2Tajikistan,Tajikistan,2000,MCV2,CEECIS,59,104000,176000,7874835
578,35213,35213,31198,2000MCV2Syrian Arab Republic,Syrian Arab Republic,2000,MCV2,MENA,80,386000,482000,21362529
577,34487,34487,30846,2000MCV2Sweden,Sweden,2000,MCV2,Industrialized,94,109000,116000,9378126
576,33057,33057,29713,2000MCV2South Africa,South Africa,2000,MCV2,ESAR,62,599000,966000,51216964
493,34485,34485,30846,2000MCV2Sweden,Sweden,2000,MCV2,Industrialized,94,109000,116000,9219637
494,35211,35211,31198,2000MCV2Syrian Arab Republic,Syrian Arab Republic,2000,MCV2,MENA,80,386000,482000,20664038
495,35629,35629,31392,2000MCV2Tajikistan,Tajikistan,2000,MCV2,CEECIS,59,104000,176000,7209930
496,36047,36047,31562,2000MCV2Thailand,Thailand,2000,MCV2,EAPR,99,1000000,1010000,66530984
497,37279,37279,32424,2000MCV2Tunisia,Tunisia,2000,MCV2,MENA,98,181000,184000,10414433
498,38093,38093,32814,2000MCV2Turkmenistan,Turkmenistan,2000,MCV2,CEECIS,92,106000,115000,4935767
499,38511,38511,33361,2000MCV2Ukraine,Ukraine,2000,MCV2,CEECIS,99,542000,548000,46258200
500,38929,38929,33583,2000MCV2United Arab Emirates,United Arab Emirates,2000,MCV2,MENA,92,49000,54000,7089487
501,39347,39347,33751,2000MCV2United Kingdom,United Kingdom,2000,MCV2,Industrialized,76,541000,711000,61806995
502,39765,39765,34119,2000MCV2United States,United States,2000,MCV2,Industrialized,85,3341000,3930000,304093966
503,40315,40315,34510,2000MCV2Uzbekistan,Uzbekistan,2000,MCV2,CEECIS,98,563000,574000,27302800
504,1134,1134,532,2000MCV2Algeria,Algeria,2000,MCV2,MENA,78,564000,723000,35333881
505,1948,1948,1277,2000MCV2Argentina,Argentina,2000,MCV2,LACR,56,394000,704000,40482788
506,2366,2366,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2888092
507,3114,3114,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8343323
508,3928,3928,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1185076
509,4896,4896,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9506765
510,6150,6150,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3735938
511,6700,6700,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,193886508
512,7118,7118,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,383906
513,7536,7536,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7444443
514,9318,9318,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,44750054
515,12178,12178,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1334515
516,15654,15654,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,10022650
517,18514,18514,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,6893260
492,33055,33055,29713,2000MCV2South Africa,South Africa,2000,MCV2,ESAR,62,599000,966000,49779471
518,18932,18932,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,16092822
491,32615,32615,29219,2000MCV2Slovenia,Slovenia,2000,MCV2,Industrialized,98,19000,19000,2021316
489,31295,31295,28308,2000MCV2Serbia,Serbia,2000,MCV2,CEECIS,78,117000,150000,7350222
464,2365,2365,1489,2000MCV2Armenia,Armenia,2000,MCV2,CEECIS,94,40000,42000,2907618
465,3113,3113,1853,2000MCV2Austria,Austria,2000,MCV2,Industrialized,35,33000,95000,8321496
466,3927,3927,2425,2000MCV2Bahrain,Bahrain,2000,MCV2,MENA,92,14000,15000,1114641
467,4895,4895,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9527985
468,6149,6149,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3754271
469,6699,6699,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,192030362
470,7117,7117,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,379421
471,7535,7535,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7492561
472,9317,9317,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,44254975
473,12177,12177,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1337090
474,15653,15653,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,10038188
475,18513,18513,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,6556478
476,18931,18931,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,15674000
477,19965,19965,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2177322
478,20383,20383,17488,2000MCV2Lebanon,Lebanon,2000,MCV2,MENA,56,48000,85000,4764741
479,21593,21593,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,3198231
480,23507,23507,20217,2000MCV2Mexico,Mexico,2000,MCV2,LACR,98,2245000,2291000,110815271
481,23925,23925,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2631898
482,25905,25905,23182,2000MCV2Norway,Norway,2000,MCV2,Industrialized,90,52000,58000,4768212
483,26323,26323,23402,2000MCV2Oman,Oman,2000,MCV2,MENA,99,56000,57000,2750963
484,26961,26961,24013,2000MCV2Panama,Panama,2000,MCV2,LACR,88,55000,62000,3516204
485,28171,28171,25006,2000MCV2Poland,Poland,2000,MCV2,Industrialized,96,397000,414000,38125759
486,28589,28589,25217,2000MCV2Portugal,Portugal,2000,MCV2,Industrialized,48,51000,105000,10558177
487,29381,29381,26243,2000MCV2Romania,Romania,2000,MCV2,CEECIS,96,236000,246000,20537875
488,29799,29799,26418,2000MCV2Russian Federation,Russian Federation,2000,MCV2,CEECIS,86,1261000,1466000,142742350
490,32197,32197,28861,2000MCV2Singapore,Singapore,2000,MCV2,EAPR,98,48000,49000,4839396
691,23930,23930,20820,2000MCV2Mongolia,Mongolia,2000,MCV2,EAPR,75,35000,46000,2881792
519,19966,19966,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2141669
521,21594,21594,18209,2000MCV2Lithuania,Lithuania,2000,MCV2,Industrialized,97,35000,37000,3162916
551,4897,4897,2956,2000MCV2Belarus,Belarus,2000,MCV2,CEECIS,92,100000,109000,9490583
552,6151,6151,4057,2000MCV2Bosnia and Herzegovina,Bosnia and Herzegovina,2000,MCV2,CEECIS,74,38000,51000,3705472
553,6701,6701,4476,2000MCV2Brazil,Brazil,2000,MCV2,LACR,95,3279000,3451000,195713635
554,7119,7119,4685,2000MCV2Brunei Darussalam,Brunei Darussalam,2000,MCV2,EAPR,95,6000,7000,388646
555,7537,7537,4896,2000MCV2Bulgaria,Bulgaria,2000,MCV2,CEECIS,83,88000,106000,7395599
556,9319,9319,6821,2000MCV2Colombia,Colombia,2000,MCV2,LACR,84,752000,895000,45222700
557,12179,12179,10553,2000MCV2Estonia,Estonia,2000,MCV2,Industrialized,89,11000,12000,1331475
558,15655,15655,13975,2000MCV2Hungary,Hungary,2000,MCV2,Industrialized,99,124000,126000,10000023
559,18515,18515,15925,2000MCV2Jordan,Jordan,2000,MCV2,MENA,83,125000,150000,7261539
560,18933,18933,16130,2000MCV2Kazakhstan,Kazakhstan,2000,MCV2,CEECIS,98,263000,269000,16321872
561,19967,19967,17291,2000MCV2Latvia,Latvia,2000,MCV2,Industrialized,90,26000,28000,2097555
